IDDESA,NAMA_KAB,NAMA_KEC,NAMA_DESA,R105,Latitude,R307B_LAT2,Longitude,total_kk,total_penduduk,sktm,sktm_per_100kk,skor_kesejahteraan,sektor_dominan,grup_sektor,sektor_industri,sektor_jasa,sektor_lainnya,sektor_perdagangan,sektor_pertanian,subsektor_pertanian,is_pertanian,skor_diversifikasi,ada_pades,jumlah_bumdes,ada_bumdes,skor_bumdes,jumlah_kud,jumlah_kospin,total_koperasi,ada_koperasi,skor_koperasi,skor_kelembagaan,ada_produk_unggulan,orientasi_ekspor,industri_makanan,industri_kerajinan,total_industri,ada_industri,skor_industri,skor_produktivitas,akses_kur,skor_akses_modal,skor_infrastruktur_ekonomi,skor_ekonomi_total,kategori_ekonomi,cluster,label
3501060006,PACITAN,ARJOSARI,PAGUTAN,2,-8.1332851,2,111.1526547,627,2508,8,1.2759170653907497,92.50072897371332,1,pertanian,False,False,False,False,True,1,100,0,100,2,100,66.66666666666666,0,1,1,100,25.0,64.16666666666666,0,0.0,23,1,24,100,72.72727272727273,21.81818181818182,100,100,0,54.62139436464045,Transisi,0,Desa Subsisten Pertanian
3501060007,PACITAN,ARJOSARI,GEMBONG,2,-8.1235273,2,111.1601337,858,3432,15,1.7482517482517483,89.7245565264822,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,1,1,100,25.0,50.83333333333333,0,0.0,4,0,4,100,12.121212121212121,3.6363636363636362,100,100,0,46.04856337404479,Berkembang,0,Desa Subsisten Pertanian
3501060008,PACITAN,ARJOSARI,BORANG,2,-8.1216759,2,111.1755743,845,3380,30,3.5502958579881656,79.13294556147156,1,pertanian,False,False,False,False,True,1,100,0,100,2,100,66.66666666666666,0,1,1,100,25.0,64.16666666666666,0,0.0,11,0,11,100,33.33333333333333,9.999999999999998,100,100,0,48.324903057034554,Berkembang,0,Desa Subsisten Pertanian
3501060009,PACITAN,ARJOSARI,GEGERAN,2,-8.1129272,2,111.1872315,415,1660,15,3.614457831325301,78.7558301198114,1,pertanian,False,False,False,False,True,2,100,0,100,0,0,0.0,0,1,1,100,25.0,37.5,0,0.0,12,0,12,100,36.36363636363637,10.90909090909091,100,100,0,41.79123025722558,Berkembang,0,Desa Subsisten Pertanian
3501060010,PACITAN,ARJOSARI,KEDUNGBENDO,1,-8.0950428,2,111.2014984,954,3816,32,3.3542976939203357,80.28493528938472,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,1,1,100,25.0,50.83333333333333,100,0.0,8,0,8,100,24.242424242424242,42.27272727272727,100,100,0,53.347748973861336,Transisi,0,Desa Subsisten Pertanian
3501060011,PACITAN,ARJOSARI,MANGUNHARJO,1,-8.0934343,2,111.2062158,723,2892,10,1.3831258644536653,91.87060350366227,1,pertanian,False,False,False,False,True,1,100,0,100,3,100,100.0,0,1,1,100,25.0,77.5,100,0.0,16,2,18,100,54.54545454545454,51.36363636363636,100,100,0,65.18355996682466,Produktif,0,Desa Subsisten Pertanian
3501060012,PACITAN,ARJOSARI,JETIS KIDUL,2,-8.0904707,2,111.1943754,459,1836,1,0.2178649237472767,98.71948721855073,1,pertanian,False,False,False,False,True,1,100,0,100,0,0,0.0,0,1,1,100,25.0,37.5,0,0.0,5,0,5,100,15.151515151515152,4.545454545454546,0,0,0,35.19123544100132,Berkembang,4,Desa Marginal
3501070003,PACITAN,NAWANGAN,SEMPU,2,-7.9913983,2,111.2024647,1998,7992,24,1.2012012012012012,92.93987547525263,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,1,1,100,25.0,50.83333333333333,100,0.0,20,4,24,100,72.72727272727273,56.81818181818182,0,0,0,50.147847656691944,Transisi,4,Desa Marginal
3501060013,PACITAN,ARJOSARI,TEMON,2,-8.0644529,2,111.1669089,1331,5324,53,3.9819684447783623,76.59576676610327,1,pertanian,False,False,False,False,True,1,100,0,0,1,100,33.33333333333333,0,1,1,100,25.0,20.833333333333332,100,0.0,39,0,39,100,100.0,65.0,100,100,0,50.60727502485915,Transisi,0,Desa Subsisten Pertanian
3501060014,PACITAN,ARJOSARI,JATIMALANG,1,-8.1101949,2,111.1502545,909,3636,15,1.65016501650165,90.30106655634954,1,pertanian,False,False,False,False,True,1,100,0,100,0,0,0.0,0,1,1,100,25.0,37.5,100,0.0,6,2,8,100,24.242424242424242,42.27272727272727,100,100,0,52.5184484572692,Transisi,0,Desa Subsisten Pertanian
