akses_listrik,ras_listrik_pln,sanitasi_layak,air_aman,jalan_baik,aksesibilitas_jalan,kesejahteraan_ekonomi,pades,bumdes,produk_unggulan,jml_koperasi,sektor_jasa,sektor_lainnya,sektor_perdagangan,sektor_pertanian,puskesmas,posyandu,bidan,gizi_buruk,pendidikan_dasar,pendidikan_menengah,tbm,pemilahan_sampah,no_banjir,peringatan_dini,internet_desa,rkp_desa
100.0,100.0,1,1,1,4,99.03225806451613,1,3,1,0,False,False,False,True,0,9,1,0,2,0,0,2,1,0,4,1
100.0,100.0,1,0,1,4,95.51820728291317,1,0,1,0,False,False,False,True,0,4,1,2,1,0,0,2,1,0,4,1
100.0,100.0,1,1,1,4,98.85829415715246,1,0,1,0,False,False,False,True,0,8,3,0,4,0,0,2,1,0,4,1
100.0,100.0,1,1,1,4,98.9090909090909,1,1,0,0,False,False,False,True,0,2,2,0,2,0,0,1,1,0,4,1
100.0,100.0,1,1,1,4,95.13677811550151,1,1,0,0,False,False,False,True,1,3,2,0,3,1,0,2,1,0,4,1
100.0,100.0,1,1,1,4,98.54838709677419,1,3,0,1,False,False,False,True,0,3,1,0,3,1,0,2,1,0,4,1
100.0,100.0,1,1,1,4,98.25282631038027,1,3,0,0,False,False,False,True,0,4,1,0,2,1,0,2,1,0,4,1
99.80276134122288,99.80276134122288,1,0,1,4,98.91518737672584,1,1,0,0,False,False,False,True,0,5,1,2,3,0,0,2,1,0,4,1
100.0,99.78245105148659,1,0,1,4,99.0572878897752,1,1,1,0,False,False,False,True,0,6,1,0,5,1,0,2,1,0,4,1
100.0,100.0,1,0,1,4,99.06639004149378,1,2,1,0,False,False,False,True,0,5,2,0,2,1,0,2,1,1,4,1
100.0,100.0,1,0,1,4,98.03921568627452,1,2,1,0,False,False,False,True,0,10,2,7,4,2,1,1,1,0,4,1
100.0,100.0,1,0,1,4,98.93877551020408,1,1,0,0,False,False,False,True,0,6,1,0,2,1,0,2,1,0,4,1
100.0,100.0,1,0,1,4,98.670465337132,1,1,1,0,False,False,False,True,0,3,1,4,3,1,0,1,1,0,4,1
100.0,100.0,1,1,1,4,98.51116625310173,1,1,1,0,False,False,False,True,0,4,1,2,2,1,0,1,1,0,4,1
99.66329966329967,99.66329966329967,1,1,1,4,99.4949494949495,1,3,1,0,False,False,False,True,0,6,1,2,2,1,0,2,1,0,4,1
100.0,100.0,1,0,1,4,98.05447470817121,1,1,1,0,False,False,False,True,0,4,1,0,2,0,0,1,1,0,4,1
100.0,100.0,1,1,1,4,97.41156169111302,1,1,0,0,False,False,False,True,0,7,2,13,3,0,0,1,1,0,4,1
100.0,100.0,1,1,1,4,89.33552091878589,1,1,1,3,False,False,False,True,0,7,1,15,5,3,0,2,1,0,4,1
100.0,100.0,1,1,1,4,94.24263193968471,1,2,1,1,False,False,False,True,0,3,1,17,3,1,0,2,1,0,4,1
100.0,100.0,1,1,1,4,96.60314830157415,1,2,1,1,False,False,False,True,0,5,0,0,3,1,0,2,1,0,4,1
100.0,100.0,1,1,1,4,99.11777679752977,1,4,0,1,False,False,False,True,0,8,3,6,5,0,0,2,1,0,4,1
100.0,100.0,1,1,1,4,81.61024702653248,1,4,1,0,False,False,False,True,0,4,2,0,4,1,1,2,1,0,4,1
100.0,100.0,1,1,1,4,98.47953216374269,1,9,1,1,False,False,False,True,0,9,1,0,6,3,1,1,1,0,4,1
100.0,100.0,1,1,1,4,88.52276934468715,1,1,1,1,False,False,False,True,0,10,2,0,7,1,0,1,1,1,4,1
100.0,99.61715160796325,1,1,1,4,96.40122511485451,1,1,1,1,False,False,False,True,0,7,1,0,3,1,0,1,1,1,4,1
100.0,100.0,1,1,1,4,97.64804703905922,1,1,0,1,False,False,False,True,0,6,2,0,6,2,0,1,1,1,4,1
99.78364344439636,99.78364344439636,1,1,1,4,95.88922544353093,1,1,0,3,False,False,False,True,0,9,4,0,5,2,1,1,1,1,4,1
100.0,100.0,1,1,1,4,97.72307692307692,1,1,1,2,False,False,False,True,0,4,1,15,3,1,0,2,1,0,4,1
100.0,100.0,1,1,1,4,98.38056680161944,1,1,0,1,False,False,False,True,0,8,2,0,2,1,1,1,1,1,4,1
100.0,99.61277831558567,1,1,1,4,95.2565343659245,1,1,0,1,False,False,False,True,0,5,1,0,4,1,0,1,1,0,4,1
100.0,100.0,1,1,1,4,97.3076923076923,1,1,0,0,False,False,False,True,0,7,2,0,6,3,0,1,1,0,4,1
100.0,100.0,1,1,1,4,98.07692307692308,1,1,1,3,False,False,False,True,0,4,3,0,3,0,0,1,1,0,4,1
100.0,100.0,1,1,1,4,94.74474474474475,1,1,1,0,False,False,False,True,0,3,3,0,1,0,0,1,1,0,4,1
100.0,100.0,1,1,1,4,95.19572953736655,1,1,0,1,False,False,False,True,0,2,0,0,1,1,0,2,1,0,4,1
100.0,100.0,1,1,1,4,92.02898550724638,1,1,0,2,False,False,False,True,0,3,2,0,2,1,0,1,1,0,4,1
100.0,100.0,1,1,1,4,97.87917737789203,1,1,0,0,False,False,False,True,0,6,1,0,4,1,0,2,1,1,4,1
100.0,100.0,1,1,1,4,98.12734082397003,1,1,0,0,False,False,False,True,0,3,1,0,3,0,0,1,1,0,4,1
100.0,100.0,1,1,1,4,93.2170542635659,1,1,1,0,False,False,False,True,0,4,0,0,2,1,0,1,1,0,4,1
100.0,100.0,1,1,1,4,85.29411764705883,1,1,0,0,False,False,False,True,0,2,1,0,1,0,0,1,1,0,4,1
100.0,100.0,1,1,1,4,95.23026315789474,1,1,1,0,False,False,False,True,0,3,1,0,1,0,0,1,1,0,4,1
100.0,100.0,1,1,1,4,83.2425068119891,1,1,1,0,False,False,False,True,0,3,1,0,1,0,0,1,1,0,4,1
100.0,100.0,1,1,1,4,93.72197309417041,1,1,1,2,False,False,False,True,0,3,2,0,1,1,0,1,1,0,4,1
100.0,100.0,1,1,1,4,91.78885630498533,1,1,0,0,False,False,False,True,0,2,0,0,1,0,0,1,1,0,4,1
100.0,100.0,1,1,1,4,92.58675078864353,1,1,1,0,False,False,False,True,0,3,1,0,2,0,0,1,1,0,4,1
100.0,100.0,1,1,1,4,95.48306148055207,1,0,0,0,False,False,False,True,0,3,3,0,1,0,0,1,1,0,4,1
100.0,100.0,1,1,1,4,97.14285714285714,1,1,1,0,False,False,False,True,0,2,1,0,1,0,0,1,1,0,4,1
100.0,100.0,1,1,1,4,97.03125,1,0,1,2,False,False,False,True,0,3,1,0,3,2,0,1,1,0,4,1
99.84591679506934,99.84591679506933,1,1,1,4,97.99691833590138,1,4,1,0,False,False,False,True,0,2,1,0,1,0,1,1,1,0,4,1
100.0,100.0,1,1,1,4,94.7867298578199,1,0,1,0,False,False,False,True,0,3,1,0,1,1,0,1,1,0,4,1
