IDDESA,NAMA_KAB,NAMA_KEC,NAMA_DESA,R105,Latitude,R307B_LAT2,Longitude,tps,tps3r,bank_sampah,pemilahan_sampah,skor_pengelolaan_sampah,pencemaran_air,pencemaran_tanah,pencemaran_udara,total_pencemaran,skor_kualitas_lingkungan,banjir,kebakaran_hutan,kekeringan,longsor,total_bencana,tingkat_kerawanan,skor_ketahanan_bencana,peringatan_dini,rambu_evakuasi,destana,skor_mitigasi_bencana,penanaman_pohon,daur_ulang_masyarakat,pupuk_organik,komunitas_lingkungan,skor_pelestarian,skor_lingkungan_total,kategori_lingkungan,cluster,label
3501050008,PACITAN,KEBONAGUNG,MANTREN,2,-8.2289332,2,111.1935818,0,0,0,25,6.25,0,0,0,0,100.0,0,0,0,0,0,0,100,100,0,0,40.0,0,0,0,0,0.0,52.5625,Sedang,3,Lingkungan Ideal (Tanpa Masalah)
3501050009,PACITAN,KEBONAGUNG,GAWANG,2,-8.2293913,2,111.1812119,0,0,0,75,18.75,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,0,0,0,0,0.0,64.6875,Sedang,1,Lingkungan Terbaik
3501050010,PACITAN,KEBONAGUNG,KARANGANYAR,2,-8.2294118,2,111.1636188,0,0,0,25,6.25,0,0,0,0,100.0,0,0,0,0,0,0,100,0,100,100,60.0,100,100,100,100,100.0,70.5625,Baik,1,Lingkungan Terbaik
3501050011,PACITAN,KEBONAGUNG,KEBONAGUNG,1,-8.2233571,2,111.1575572,100,100,0,75,68.75,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,100,100,100,100,100.0,92.1875,Sangat Baik,1,Lingkungan Terbaik
3501050012,PACITAN,KEBONAGUNG,PURWOASRI,1,-8.2143123,2,111.1498361,50,0,0,25,16.25,0,0,0,0,100.0,0,0,0,0,0,0,100,100,0,100,70.0,100,0,0,0,30.0,64.0625,Sedang,1,Lingkungan Terbaik
3501050013,PACITAN,KEBONAGUNG,BANJARJO,1,-8.2129625,2,111.1575321,0,0,0,75,18.75,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,100,0,100,100,75.0,75.9375,Baik,1,Lingkungan Terbaik
3501050014,PACITAN,KEBONAGUNG,GEMBUK,2,-8.2112827,2,111.2102703,0,0,0,25,6.25,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,100,100,0,100,80.0,73.5625,Baik,1,Lingkungan Terbaik
3501050015,PACITAN,KEBONAGUNG,SANGGRAHAN,2,-8.19009002,2,111.1922567,0,0,0,75,18.75,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,0,70.0,100,100,100,0,75.0,71.4375,Baik,1,Lingkungan Terbaik
3501050016,PACITAN,KEBONAGUNG,PUNJUNG,2,-8.197545359,2,111.168786,0,0,0,0,0.0,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,100,0,100,50,62.5,69.375,Baik,1,Lingkungan Terbaik
3501050017,PACITAN,KEBONAGUNG,WONOGONDO,2,-8.188989416,2,111.1551376,0,0,0,0,0.0,0,0,0,0,100.0,0,1,1,0,2,50,50,100,100,100,100.0,100,0,100,0,50.0,55.0,Sedang,0,Lingkungan Sedang
3501050018,PACITAN,KEBONAGUNG,KETEPUNG,2,-8.1760359,2,111.1532913,0,0,0,25,6.25,0,0,0,0,100.0,0,0,0,1,1,25,75,100,0,100,70.0,100,0,0,100,55.0,59.0625,Sedang,0,Lingkungan Sedang
3501050019,PACITAN,KEBONAGUNG,KETRO,1,-8.168936974,2,111.1988326,0,0,0,25,6.25,0,0,0,0,100.0,0,0,0,0,0,0,100,100,0,100,70.0,100,0,100,100,75.0,68.3125,Baik,1,Lingkungan Terbaik
3501060001,PACITAN,ARJOSARI,MLATI,2,-8.1155699,2,111.1183777,0,0,0,0,0.0,0,0,0,0,100.0,0,1,1,1,3,75,25,0,0,0,0.0,100,0,100,0,50.0,33.75,Sangat Buruk,0,Lingkungan Sedang
3501060002,PACITAN,ARJOSARI,SEDAYU,1,-8.116847,2,111.1323914,0,0,0,0,0.0,0,0,0,0,100.0,0,1,0,1,2,50,50,0,0,100,30.0,100,0,100,100,75.0,48.25,Buruk,0,Lingkungan Sedang
3501060003,PACITAN,ARJOSARI,TREMAS,1,-8.1174515,2,111.1449762,50,50,100,0,50.0,0,0,0,0,100.0,0,1,1,0,2,50,50,0,0,0,0.0,100,50,100,100,87.5,58.125,Sedang,0,Lingkungan Sedang
3501060004,PACITAN,ARJOSARI,ARJOSARI,1,-8.1250011,2,111.1492911,100,0,0,25,26.25,0,0,0,0,100.0,0,0,0,0,0,0,100,0,0,100,30.0,100,0,100,0,50.0,63.5625,Sedang,1,Lingkungan Terbaik
3501060005,PACITAN,ARJOSARI,GUNUNGSARI,1,-8.1402345,2,111.1422161,0,0,0,75,18.75,0,0,0,0,100.0,0,1,0,0,1,25,75,0,0,0,0.0,100,0,100,100,75.0,54.6875,Sedang,0,Lingkungan Sedang
3501060006,PACITAN,ARJOSARI,PAGUTAN,2,-8.1332851,2,111.1526547,0,0,0,75,18.75,0,0,0,0,100.0,0,0,0,0,0,0,100,0,0,0,0.0,100,0,100,100,75.0,60.9375,Sedang,1,Lingkungan Terbaik
3501060007,PACITAN,ARJOSARI,GEMBONG,2,-8.1235273,2,111.1601337,0,0,0,75,18.75,0,0,0,0,100.0,0,0,0,1,1,25,75,0,0,0,0.0,100,0,100,100,75.0,54.6875,Sedang,0,Lingkungan Sedang
3501060008,PACITAN,ARJOSARI,BORANG,2,-8.1216759,2,111.1755743,0,0,0,25,6.25,0,0,0,0,100.0,0,0,0,0,0,0,100,0,0,100,30.0,100,0,100,100,75.0,62.3125,Sedang,1,Lingkungan Terbaik
3501060009,PACITAN,ARJOSARI,GEGERAN,2,-8.1129272,2,111.1872315,0,0,0,25,6.25,0,0,0,0,100.0,0,0,0,0,0,0,100,0,0,100,30.0,100,0,0,100,55.0,59.3125,Sedang,3,Lingkungan Ideal (Tanpa Masalah)
3501060010,PACITAN,ARJOSARI,KEDUNGBENDO,1,-8.0950428,2,111.2014984,0,0,0,25,6.25,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,100,0,100,100,75.0,72.8125,Baik,1,Lingkungan Terbaik
3501060011,PACITAN,ARJOSARI,MANGUNHARJO,1,-8.0934343,2,111.2062158,0,0,0,0,0.0,1,0,1,2,33.33,0,0,0,0,0,0,100,0,0,100,30.0,100,0,0,100,55.0,44.416,Buruk,2,Lingkungan Rentan Pencemaran
3501060012,PACITAN,ARJOSARI,JETIS KIDUL,2,-8.0904707,2,111.1943754,0,0,0,25,6.25,0,0,0,0,100.0,0,0,0,0,0,0,100,0,0,100,30.0,0,0,0,0,0.0,51.0625,Sedang,3,Lingkungan Ideal (Tanpa Masalah)
3501070003,PACITAN,NAWANGAN,SEMPU,2,-7.9913983,2,111.2024647,0,0,0,0,0.0,0,0,0,0,100.0,0,0,1,0,1,25,75,0,100,0,30.0,100,0,100,100,75.0,54.5,Sedang,0,Lingkungan Sedang
3501060013,PACITAN,ARJOSARI,TEMON,2,-8.0644529,2,111.1669089,0,0,0,0,0.0,0,0,0,0,100.0,0,0,1,1,2,50,50,0,0,100,30.0,0,0,0,50,12.5,38.875,Buruk,0,Lingkungan Sedang
